scheme_id,name,ministry,description,eligibility,url
NALSA001,National Legal Services Authority Free Legal Aid,Ministry of Law and Justice,Free legal services to weaker sections of society including representation in court drafting of legal documents and advice on legal matters.,Members of Scheduled Castes and Scheduled Tribes victims of trafficking women children persons with disability industrial workmen and persons with annual income below the prescribed limit.,https://nalsa.gov.in
DLSA001,District Legal Services Authority,Ministry of Law and Justice,Lok Adalats and legal aid clinics at the district level for resolving disputes through mediation and providing legal counselling.,Indian citizens with annual family income below the state-notified ceiling and members of categories listed under Section 12 of the Legal Services Authorities Act 1987.,https://nalsa.gov.in/lok-adalat
TLSC001,Tele-Law Service,Ministry of Law and Justice,Pre-litigation legal advice through video conferencing at Common Service Centres connecting citizens to panel lawyers.,Any Indian citizen seeking pre-litigation legal advice. Free for women SC ST persons with disability senior citizens BPL families and victims of disasters.,https://tele-law.in
PMK001,PM Kisan Samman Nidhi,Ministry of Agriculture and Farmers Welfare,Income support of six thousand rupees per year transferred in three equal instalments to the bank accounts of eligible farmer families.,All landholding farmer families subject to certain exclusions such as institutional landholders income tax payers and serving or retired government employees above Group D.,https://pmkisan.gov.in
AB001,Ayushman Bharat Pradhan Mantri Jan Arogya Yojana,Ministry of Health and Family Welfare,Health insurance cover of five lakh rupees per family per year for secondary and tertiary care hospitalisation across empanelled hospitals.,Families identified through Socio Economic Caste Census 2011 deprivation and occupational criteria. No restriction on family size age or gender.,https://pmjay.gov.in
PMAY001,Pradhan Mantri Awas Yojana Urban,Ministry of Housing and Urban Affairs,Central assistance for construction or enhancement of pucca house with basic amenities for the urban poor.,Beneficiary family should not own a pucca house anywhere in India. Income criteria: EWS up to 3 lakh LIG 3 to 6 lakh MIG-I 6 to 12 lakh MIG-II 12 to 18 lakh per annum.,https://pmaymis.gov.in
PMUY001,Pradhan Mantri Ujjwala Yojana,Ministry of Petroleum and Natural Gas,Free LPG connection with deposit free cylinder hose pressure regulator and first refill to women from poor households.,Adult women belonging to BPL families SC ST PMAY beneficiaries Antyodaya Anna Yojana beneficiaries and forest dwellers without an existing LPG connection in the household.,https://pmuy.gov.in
MUDRA001,Pradhan Mantri MUDRA Yojana,Ministry of Finance,Collateral free loans up to ten lakh rupees to non-corporate non-farm small and micro enterprises through banks NBFCs and MFIs.,Indian citizens running or planning small businesses in trading manufacturing or services sectors. Three categories: Shishu up to 50 thousand Kishore 50 thousand to 5 lakh Tarun 5 lakh to 10 lakh.,https://mudra.org.in
APY001,Atal Pension Yojana,Ministry of Finance,Guaranteed monthly pension between one and five thousand rupees after age 60 with co-contribution from the government for eligible subscribers.,Indian citizens between 18 and 40 years with a savings bank account. Co-contribution available to non income tax payers who joined before 31 March 2016.,https://npscra.nsdl.co.in/scheme-details.php
PMJDY001,Pradhan Mantri Jan Dhan Yojana,Ministry of Finance,Zero balance savings account with RuPay debit card overdraft facility up to ten thousand rupees and accident insurance cover of two lakh rupees.,Any Indian citizen aged 10 years and above can open the account. Aadhaar or other valid KYC document required.,https://pmjdy.gov.in
PMVK001,PM Vishwakarma,Ministry of Micro Small and Medium Enterprises,Recognition skill training toolkit incentive credit support and digital transactions incentive for traditional artisans and craftspeople.,Artisans and craftspeople engaged in any of the 18 notified trades such as carpenter blacksmith goldsmith potter cobbler tailor and barber. Minimum age 18 years.,https://pmvishwakarma.gov.in
SSY001,Sukanya Samriddhi Yojana,Ministry of Finance,Small savings scheme for the girl child with attractive interest rate and income tax benefits maturing when the girl turns 21.,Account can be opened by parent or legal guardian in the name of a girl child below 10 years of age. One account per girl child up to two girls per family.,https://www.indiapost.gov.in/Financial/pages/content/sukanya-samriddhi-account.aspx
PMSBY001,Pradhan Mantri Suraksha Bima Yojana,Ministry of Finance,Accidental death and disability insurance cover of two lakh rupees at an annual premium of twenty rupees auto debited from the bank account.,Indian citizens between 18 and 70 years with a savings bank account who consent to enable auto debit.,https://jansuraksha.gov.in
PMJJBY001,Pradhan Mantri Jeevan Jyoti Bima Yojana,Ministry of Finance,Life insurance cover of two lakh rupees at an annual premium of 436 rupees for any cause of death.,Indian citizens between 18 and 50 years with a savings bank account who consent to enable auto debit. Cover continues up to age 55.,https://jansuraksha.gov.in
NSAP001,National Social Assistance Programme,Ministry of Rural Development,Monthly pension to elderly persons widows and persons with disability from BPL households.,BPL households. Indira Gandhi National Old Age Pension for persons 60 years and above. Indira Gandhi National Widow Pension for widows aged 40 to 79. Indira Gandhi National Disability Pension for persons with severe disability aged 18 to 79.,https://nsap.nic.in
ICDS001,Integrated Child Development Services,Ministry of Women and Child Development,Supplementary nutrition pre-school education immunisation health check-up and referral services delivered through Anganwadi centres.,Children below 6 years pregnant women and lactating mothers and adolescent girls in select districts.,https://wcd.nic.in/schemes/integrated-child-development-services-icds-scheme
SAKHI001,One Stop Centre Sakhi,Ministry of Women and Child Development,Integrated support and assistance under one roof for women affected by violence both in private and public spaces. Includes medical legal psychological and shelter support.,Any woman affected by violence irrespective of caste class religion region sexual orientation or marital status. Available 24x7.,https://wcd.nic.in/schemes/one-stop-centre-scheme-1
MGNREGA001,Mahatma Gandhi National Rural Employment Guarantee Act,Ministry of Rural Development,Legal guarantee of one hundred days of unskilled manual wage employment in a financial year to every rural household.,Adult members of rural households willing to do unskilled manual work. Job card issued by the gram panchayat is required.,https://nrega.nic.in
SVAYEM001,Stand Up India,Ministry of Finance,Bank loans between ten lakh and one crore rupees to at least one Scheduled Caste or Scheduled Tribe borrower and at least one woman borrower per bank branch for setting up a greenfield enterprise.,SC ST and women entrepreneurs above 18 years of age setting up a greenfield enterprise in manufacturing services or trading sector.,https://www.standupmitra.in
PMMVY001,Pradhan Mantri Matru Vandana Yojana,Ministry of Women and Child Development,Cash incentive of five thousand rupees in three instalments to pregnant women and lactating mothers for the first living child.,Pregnant women and lactating mothers for the first child excluding those in regular employment with the central or state government.,https://wcd.nic.in/schemes/pradhan-mantri-matru-vandana-yojana
